,platform,searchTime,searchQuery,searchInteractionURIs,Time_Short,Time,hour,hour_adj,day
0,IPHONE,2023-07-29T05:29:30.638Z[UTC],modnight,['spotify:album:151w1FgRZfnKZA9FEcg9Z3'],2023-07-29T05:29:30,2023-07-29 05:29:30,5,21,29
1,IPHONE_ARM64,2023-07-29T07:39:22.809Z[UTC],modnig,[],2023-07-29T07:39:22,2023-07-29 07:39:22,7,23,29
2,IPHONE,2023-07-29T07:39:24.954Z[UTC],dress,"['spotify:track:6oVxXO5oQ4pTpO8RSnkzvv', 'spotify:album:6DEjYFkNZh67HP7R9PSZvv']",2023-07-29T07:39:24,2023-07-29 07:39:24,7,23,29
3,IPHONE_ARM64,2023-08-06T23:15:14.766Z[UTC],taulor swif,[],2023-08-06T23:15:14,2023-08-06 23:15:14,23,15,6
4,IPHONE,2023-08-06T23:15:15.190Z[UTC],taulor swift,['spotify:playlist:6kh8X00EqGovzCJeYyWVTJ'],2023-08-06T23:15:15,2023-08-06 23:15:15,23,15,6
5,IPHONE_ARM64,2023-08-07T22:16:10.106Z[UTC],superhe,[],2023-08-07T22:16:10,2023-08-07 22:16:10,22,14,7
6,IPHONE,2023-08-07T22:16:10.500Z[UTC],superhero,['spotify:track:0vjeOZ3Ft5jvAi9SBFJm1j'],2023-08-07T22:16:10,2023-08-07 22:16:10,22,14,7
7,IPHONE,2023-08-13T22:12:09.413Z[UTC],ibiza,"['spotify:track:3CCyVdprlcXui4ZwMw1hNS', 'spotify:track:1MtUq6Wp1eQ8PC6BbPCj8P']",2023-08-13T22:12:09,2023-08-13 22:12:09,22,14,13
8,IPHONE,2023-08-14T23:27:05.045Z[UTC],pod qu,['spotify:show:35zqLhxvCBC1dfdtMfYHqh'],2023-08-14T23:27:05,2023-08-14 23:27:05,23,15,14
9,IPHONE_ARM64,2023-08-15T20:26:16.991Z[UTC],ba,[],2023-08-15T20:26:16,2023-08-15 20:26:16,20,12,15
10,IPHONE,2023-08-15T20:26:17.540Z[UTC],back,['spotify:album:6mUdeDZCsExyJLMdAfDuwh'],2023-08-15T20:26:17,2023-08-15 20:26:17,20,12,15
11,IPHONE,2023-08-15T21:32:33.584Z[UTC],back,[],2023-08-15T21:32:33,2023-08-15 21:32:33,21,13,15
12,IPHONE_ARM64,2023-08-15T22:06:45.177Z[UTC],bac,[],2023-08-15T22:06:45,2023-08-15 22:06:45,22,14,15
13,IPHONE_ARM64,2023-08-15T22:06:47.664Z[UTC],too,[],2023-08-15T22:06:47,2023-08-15 22:06:47,22,14,15
14,IPHONE_ARM64,2023-08-15T22:06:47.841Z[UTC],too ,[],2023-08-15T22:06:47,2023-08-15 22:06:47,22,14,15
